year,category,variable,units,magnitude,source,data_value,flag
2010,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2011,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2012,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2013,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2014,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2015,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2016,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2017,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2018,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2019,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2020,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,P
2021,Marine tourism and recreation,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,P
2007,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,,F
2008,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,,F
2009,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,27078,F
2010,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,35932,F
2011,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,28580,F
2012,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,51586,F
2013,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,43041,F
2014,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,10103,F
2015,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,33160,F
2016,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,62919,F
2017,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,83570,F
2018,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,94893,F
2019,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,101817,F
2020,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,99966,P
2021,Marine tourism and recreation,GDP,Dollars,Thousands,Environmental Accounts,125277,P
2007,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,28948,F
2008,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,33070,F
2009,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,31817,F
2010,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,30274,F
2011,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,30578,F
2012,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,31572,F
2013,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,30939,F
2014,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,32173,F
2015,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,34378,F
2016,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,38667,R
2017,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,43754,F
2018,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,46726,F
2019,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,51550,R
2020,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,53890,P
2021,Marine tourism and recreation,Gross earnings,Dollars,Thousands,LEED,57542,P
2007,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,25600,R
2008,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,27040,R
2009,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,29460,R
2010,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,30460,R
2011,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,30670,R
2012,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,31700,R
2013,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,31960,R
2014,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,32110,R
2015,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,33970,R
2016,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,34220,R
2017,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,36040,R
2018,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,37140,R
2019,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,38300,R
2020,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,39220,P
2021,Marine tourism and recreation,Mean earnings,Dollars,Thousands,LEED,40490,P
2007,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1131,F
2008,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1221,F
2009,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1080,F
2010,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,996,R
2011,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,996,F
2012,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,996,F
2013,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,969,F
2014,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1002,F
2015,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1014,F
2016,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1131,F
2017,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1215,F
2018,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1257,F
2019,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1344,F
2020,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1374,P
2021,Marine tourism and recreation,Wage and salary earners,Number,Actual,LEED,1419,P
2007,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.5,F
2008,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.5,F
2009,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.5,F
2010,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,F
2011,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,F
2012,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.8,F
2013,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.9,F
2014,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.7,F
2015,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.9,F
2016,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.5,F
2017,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4.1,F
2018,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,4,F
2019,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.7,F
2020,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,3.4,P
2021,Offshore minerals,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,2.7,P
2007,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,26.9,F
2008,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,52.5,F
2009,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,54.2,F
2010,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,51.3,F
2011,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,50.4,F
2012,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,48,F
2013,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,45.3,F
2014,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,41.6,F
2015,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,38.4,F
2016,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,24.2,F
2017,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,24.8,F
2018,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,25.9,F
2019,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,23,F
2020,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,21,P
2021,Offshore minerals,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,9,P
2007,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,5.8,F
2008,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,6.2,F
2009,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,6.7,F
2010,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,7.3,F
2011,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,7.2,F
2012,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,6.6,F
2013,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,6.8,F
2014,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,11.6,F
2015,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,12.2,F
2016,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,11.3,F
2017,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,10.2,F
2018,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,9.7,F
2019,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,9.4,F
2020,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,7.3,P
2021,Offshore minerals,Contribution to marine economy earnings,Proportion,Actual,LEED,5.2,P
2007,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.5,F
2008,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.2,F
2009,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.2,F
2010,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.2,F
2011,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.1,F
2012,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1,F
2013,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.9,F
2014,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.7,F
2015,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.7,F
2016,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2017,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2018,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2019,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.3,F
2020,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.3,P
2021,Offshore minerals,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.1,P
2007,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,787078,F
2008,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,2200130,F
2009,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,2309240,F
2010,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,2297657,F
2011,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,2322137,F
2012,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,2117062,F
2013,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,1951832,F
2014,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,1705289,F
2015,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,1625954,F
2016,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,949090,F
2017,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,961954,F
2018,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,1095510,F
2019,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,1004507,F
2020,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,958490,P
2021,Offshore minerals,GDP,Dollars,Thousands,Environmental Accounts,352000,P
2007,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,86330,F
2008,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,95761,F
2009,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,109183,F
2010,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,117419,F
2011,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,121834,F
2012,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,115350,F
2013,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,117852,F
2014,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,200878,F
2015,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,238285,F
2016,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,225517,F
2017,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,205909,F
2018,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,206436,F
2019,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,211368,F
2020,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,169383,P
2021,Offshore minerals,Gross earnings,Dollars,Thousands,LEED,120749,P
2007,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,93840,R
2008,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,103190,R
2009,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,119720,R
2010,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,120310,R
2011,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,124830,R
2012,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,122840,R
2013,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,123790,R
2014,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,121300,R
2015,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,139760,R
2016,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,139120,R
2017,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,132760,R
2018,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,131320,R
2019,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,142910,R
2020,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,123820,P
2021,Offshore minerals,Mean earnings,Dollars,Thousands,LEED,111910,P
2007,Offshore minerals,Wage and salary earners,Number,Actual,LEED,918,F
2008,Offshore minerals,Wage and salary earners,Number,Actual,LEED,927,R
2009,Offshore minerals,Wage and salary earners,Number,Actual,LEED,912,F
2010,Offshore minerals,Wage and salary earners,Number,Actual,LEED,975,F
2011,Offshore minerals,Wage and salary earners,Number,Actual,LEED,978,R
2012,Offshore minerals,Wage and salary earners,Number,Actual,LEED,939,F
2013,Offshore minerals,Wage and salary earners,Number,Actual,LEED,954,R
2014,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1656,F
2015,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1704,F
2016,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1623,R
2017,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1551,F
2018,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1572,F
2019,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1479,F
2020,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1368,P
2021,Offshore minerals,Wage and salary earners,Number,Actual,LEED,1080,P
2007,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.5,F
2008,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,50.4,F
2009,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,50,F
2010,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.9,F
2011,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,50,F
2012,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.9,R
2013,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.8,R
2014,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,47.9,F
2015,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.5,F
2016,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.1,R
2017,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,47.7,F
2018,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,47.6,F
2019,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,48.3,F
2020,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,47.5,P
2021,Shipping,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,52.1,P
2007,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,40.7,F
2008,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,28.5,F
2009,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,25.9,F
2010,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.8,F
2011,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.9,F
2012,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,28.6,F
2013,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,30.2,F
2014,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,33.7,F
2015,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,33.2,F
2016,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,39.7,F
2017,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,45.6,F
2018,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,41.9,F
2019,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,43.3,F
2020,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,43.4,P
2021,Shipping,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,52.6,P
2007,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,46.2,F
2008,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,48,F
2009,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,46.8,F
2010,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,46.4,F
2011,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,47.2,F
2012,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,46.9,F
2013,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,47.3,F
2014,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,41.9,F
2015,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,47.4,F
2016,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,49,F
2017,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,48.3,F
2018,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,47.7,R
2019,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,49,R
2020,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,50.5,P
2021,Shipping,Contribution to marine economy earnings,Proportion,Actual,LEED,51.8,P
2007,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.7,F
2008,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,F
2009,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,F
2010,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,F
2011,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,F
2012,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,F
2013,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,F
2014,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,F
2015,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,F
2016,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,F
2017,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.7,F
2018,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,F
2019,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,F
2020,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,P
2021,Shipping,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.6,P
2007,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1188749,F
2008,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1194751,F
2009,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1102803,F
2010,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1245291,F
2011,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1286000,F
2012,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1259813,F
2013,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1303587,F
2014,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1379831,F
2015,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1408034,F
2016,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1557587,F
2017,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1770110,F
2018,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1769305,F
2019,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1895163,F
2020,Shipping,GDP,Dollars,Thousands,Environmental Accounts,1981019,P
2021,Shipping,GDP,Dollars,Thousands,Environmental Accounts,2059736,P
2007,Shipping,Gross earnings,Dollars,Thousands,LEED,684551,F
2008,Shipping,Gross earnings,Dollars,Thousands,LEED,738517,F
2009,Shipping,Gross earnings,Dollars,Thousands,LEED,765825,F
2010,Shipping,Gross earnings,Dollars,Thousands,LEED,749520,F
2011,Shipping,Gross earnings,Dollars,Thousands,LEED,796254,F
2012,Shipping,Gross earnings,Dollars,Thousands,LEED,818253,F
2013,Shipping,Gross earnings,Dollars,Thousands,LEED,821804,F
2014,Shipping,Gross earnings,Dollars,Thousands,LEED,725337,F
2015,Shipping,Gross earnings,Dollars,Thousands,LEED,927334,R
2016,Shipping,Gross earnings,Dollars,Thousands,LEED,980426,R
2017,Shipping,Gross earnings,Dollars,Thousands,LEED,979662,R
2018,Shipping,Gross earnings,Dollars,Thousands,LEED,1014095,R
2019,Shipping,Gross earnings,Dollars,Thousands,LEED,1097686,R
2020,Shipping,Gross earnings,Dollars,Thousands,LEED,1171953,P
2021,Shipping,Gross earnings,Dollars,Thousands,LEED,1203077,P
2007,Shipping,Mean earnings,Dollars,Thousands,LEED,181460,R
2008,Shipping,Mean earnings,Dollars,Thousands,LEED,189480,R
2009,Shipping,Mean earnings,Dollars,Thousands,LEED,201270,R
2010,Shipping,Mean earnings,Dollars,Thousands,LEED,215570,R
2011,Shipping,Mean earnings,Dollars,Thousands,LEED,224250,R
2012,Shipping,Mean earnings,Dollars,Thousands,LEED,233240,R
2013,Shipping,Mean earnings,Dollars,Thousands,LEED,236780,R
2014,Shipping,Mean earnings,Dollars,Thousands,LEED,215090,R
2015,Shipping,Mean earnings,Dollars,Thousands,LEED,252600,R
2016,Shipping,Mean earnings,Dollars,Thousands,LEED,265520,R
2017,Shipping,Mean earnings,Dollars,Thousands,LEED,259010,R
2018,Shipping,Mean earnings,Dollars,Thousands,LEED,264960,R
2019,Shipping,Mean earnings,Dollars,Thousands,LEED,277030,R
2020,Shipping,Mean earnings,Dollars,Thousands,LEED,287920,P
2021,Shipping,Mean earnings,Dollars,Thousands,LEED,283900,P
2007,Shipping,Wage and salary earners,Number,Actual,LEED,18111,R
2008,Shipping,Wage and salary earners,Number,Actual,LEED,18756,F
2009,Shipping,Wage and salary earners,Number,Actual,LEED,18288,F
2010,Shipping,Wage and salary earners,Number,Actual,LEED,16524,R
2011,Shipping,Wage and salary earners,Number,Actual,LEED,16812,F
2012,Shipping,Wage and salary earners,Number,Actual,LEED,16590,F
2013,Shipping,Wage and salary earners,Number,Actual,LEED,16128,R
2014,Shipping,Wage and salary earners,Number,Actual,LEED,16794,R
2015,Shipping,Wage and salary earners,Number,Actual,LEED,17031,R
2016,Shipping,Wage and salary earners,Number,Actual,LEED,17181,R
2017,Shipping,Wage and salary earners,Number,Actual,LEED,18177,R
2018,Shipping,Wage and salary earners,Number,Actual,LEED,18525,R
2019,Shipping,Wage and salary earners,Number,Actual,LEED,19269,R
2020,Shipping,Wage and salary earners,Number,Actual,LEED,19290,P
2021,Shipping,Wage and salary earners,Number,Actual,LEED,20553,P
2007,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.7,F
2008,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.2,F
2009,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.2,F
2010,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.3,F
2011,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.3,F
2012,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2.1,F
2013,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,2,F
2014,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.8,F
2015,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.7,F
2016,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.5,F
2017,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.4,F
2018,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.5,F
2019,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.4,F
2020,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.4,P
2021,Total marine economy,Contribution to total GDP,Proportion,Actual,Environmental Accounts,1.2,P
2007,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,2921561,F
2008,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4187783,F
2009,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4256769,F
2010,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4480573,F
2011,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4611116,F
2012,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4412374,F
2013,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4312723,F
2014,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4095929,F
2015,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4238729,F
2016,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,3923816,F
2017,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,3885987,F
2018,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4222595,F
2019,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4373290,F
2020,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,4568459,P
2021,Total marine economy,GDP,Dollars,Thousands,Environmental Accounts,3914217,P
2007,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1480564,F
2008,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1540028,F
2009,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1637211,F
2010,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1615712,F
2011,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1687395,F
